,ilkid,firstname,lastname,leag_rg,gp_rg,minutes_rg,pts_rg,oreb_rg,dreb_rg,reb_rg,asts_rg,stl_rg,blk_rg,turnover_rg,pf_rg,fga_rg,fgm_rg,fta_rg,ftm_rg,tpa_rg,tpm_rg,leag_po,gp_po,minutes_po,pts_po,dreb_po,oreb_po,reb_po,asts_po,stl_po,blk_po,turnover_po,pf_po,fga_po,fgm_po,fta_po,ftm_po,tpa_po,tpm_po,position,firstseason,lastseason,weight,college,age,retirement_age,start_age,career_span,height,leag,firstyear,lastyear,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,tpa,tpm
3841,WILEYGE01,Gene,Wiley,N,300.0,6386.0,1273.0,0.0,0.0,2194.0,252.0,0.0,0.0,0.0,811.0,1174.0,553.0,330.0,167.0,0.0,0.0,N,27.0,710.0,120.0,0.0,0.0,272.0,34.0,0.0,0.0,0.0,80.0,103.0,52.0,37.0,16.0,0.0,0.0,C,1962.0,1967.0,210.0,Wichita,84.0,30.0,25.0,5.0,82.0,,,,,,,,,,,,,,,,,,,
3842,WILEYMI01,Michael,Wiley,N,94.0,1284.0,692.0,89.0,157.0,246.0,63.0,48.0,22.0,99.0,165.0,497.0,279.0,189.0,134.0,7.0,0.0,N,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,F,1980.0,1981.0,200.0,Long Beach State,64.0,24.0,23.0,1.0,81.0,,,,,,,,,,,,,,,,,,,
3843,WILEYMO01,Morlon,Wiley,N,295.0,3843.0,1078.0,89.0,252.0,341.0,722.0,243.0,17.0,311.0,444.0,1023.0,421.0,150.0,106.0,367.0,130.0,,,,,,,,,,,,,,,,,,,G,1988.0,1994.0,185.0,Long Beach State,55.0,28.0,22.0,6.0,76.0,,,,,,,,,,,,,,,,,,,
3844,WILFOWI01,Win,Wilfong,N,268.0,4810.0,1826.0,0.0,0.0,910.0,565.0,0.0,0.0,0.0,649.0,1897.0,684.0,616.0,458.0,0.0,0.0,N,16.0,208.0,80.0,0.0,0.0,47.0,28.0,0.0,0.0,0.0,31.0,88.0,26.0,39.0,28.0,0.0,0.0,G,1957.0,1960.0,185.0,Missouri,88.0,27.0,24.0,3.0,74.0,,,,,,,,,,,,,,,,,,,
3845,WILKEBO01,Bob,Wilkerson,N,536.0,14883.0,5424.0,587.0,1649.0,2236.0,1835.0,671.0,141.0,1156.0,1310.0,5313.0,2256.0,1199.0,901.0,66.0,11.0,N,22.0,679.0,204.0,10.0,6.0,113.0,107.0,27.0,6.0,11.0,75.0,220.0,86.0,50.0,32.0,1.0,0.0,G,1976.0,1982.0,195.0,Indiana,67.0,28.0,22.0,6.0,78.0,,,,,,,,,,,,,,,,,,,
3846,WILKEJA01,Jamaal,Wilkes,N,828.0,27275.0,14644.0,1627.0,3490.0,5117.0,2050.0,1049.0,262.0,1211.0,2296.0,12471.0,6226.0,2878.0,2185.0,52.0,7.0,N,98.0,3301.0,1565.0,174.0,149.0,600.0,219.0,84.0,25.0,121.0,273.0,1441.0,674.0,297.0,217.0,6.0,0.0,F,1974.0,1985.0,190.0,UCLA,68.0,32.0,21.0,11.0,78.0,N,1975.0,1982.0,4.0,79.0,48.0,0.0,0.0,22.0,10.0,0.0,0.0,0.0,0.0,39.0,19.0,10.0,0.0,0.0
3847,WILKEJA02,James,Wilkes,N,114.0,1531.0,547.0,107.0,167.0,274.0,104.0,58.0,31.0,101.0,220.0,484.0,224.0,137.0,99.0,3.0,0.0,,,,,,,,,,,,,,,,,,,F,1980.0,1982.0,195.0,UCLA,63.0,24.0,22.0,2.0,79.0,,,,,,,,,,,,,,,,,,,
3848,WILKELE01,Lenny,Wilkens,N,1077.0,38064.0,17772.0,118.0,279.0,5030.0,7211.0,174.0,26.0,0.0,3285.0,14327.0,6189.0,6973.0,5394.0,0.0,0.0,N,64.0,2403.0,1031.0,0.0,0.0,373.0,372.0,0.0,0.0,0.0,258.0,899.0,359.0,407.0,313.0,0.0,0.0,G,1960.0,1974.0,180.0,Providence,84.0,37.0,23.0,14.0,73.0,N,1962.0,1972.0,9.0,182.0,85.0,0.0,0.0,22.0,26.0,0.0,0.0,0.0,0.0,75.0,30.0,32.0,0.0,0.0
3849,WILKIDA01,Dale,Wilkinson,N,12.0,45.0,14.0,1.0,3.0,4.0,2.0,0.0,0.0,4.0,10.0,16.0,4.0,7.0,6.0,1.0,0.0,,,,,,,,,,,,,,,,,,,F,1984.0,1984.0,220.0,Idaho State,61.0,24.0,24.0,0.0,82.0,,,,,,,,,,,,,,,,,,,
3850,WILKIDA02,Damien,Wilkins,N,29.0,521.0,183.0,29.0,37.0,66.0,26.0,22.0,10.0,16.0,55.0,168.0,73.0,34.0,21.0,59.0,16.0,N,7.0,136.0,39.0,9.0,9.0,18.0,3.0,10.0,1.0,8.0,17.0,36.0,16.0,9.0,4.0,11.0,3.0,G,2004.0,2004.0,225.0,Georgia,41.0,24.0,24.0,0.0,78.0,,,,,,,,,,,,,,,,,,,
