,ilkid,all_star_leag,all_star_firstyear,all_star_lastyear,all_star_gp,all_star_minutes,all_star_total_pts,all_star_dreb,all_star_oreb,all_star_reb,all_star_asts,all_star_stl,all_star_blk,all_star_turnover,all_star_pf,all_star_fga,all_star_fgm,all_star_fta,all_star_tpa,all_star_tpm
414,WANZEBO01 ,N,1951,1955,5,131,46.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,43.0,17.0,14.0,0.0,0.0
415,WARLEBE01 ,A,1967,1967,1,17,8.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,7.0,2.0,4.0,3.0,0.0
416,WASHIKE01 ,N,1979,1979,1,14,4.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,0.0,0.0
417,WASHITR01 ,A,1968,1968,1,15,6.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,0.0,0.0
418,WEBBECH01 ,N,1996,2002,5,175,30.0,13.0,11.0,24.0,13.0,4.0,0.0,8.0,9.0,35.0,13.0,8.0,3.0,1.0
419,WEDMASC01 ,N,1975,1975,1,20,8.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0
420,WESTJE01  ,N,1960,1972,13,440,160.0,0.0,0.0,47.0,55.0,0.0,0.0,0.0,0.0,137.0,62.0,50.0,0.0,0.0
421,WESTPPA01 ,N,1976,1981,6,153,116.0,0.0,0.0,11.0,27.0,0.0,0.0,0.0,0.0,80.0,51.0,19.0,0.0,0.0
422,WHITEJO01 ,N,1970,1975,6,109,54.0,0.0,0.0,26.0,19.0,0.0,0.0,0.0,0.0,53.0,24.0,11.0,0.0,0.0
423,WICKSSI01 ,N,1971,1974,4,81,49.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,40.0,18.0,18.0,0.0,0.0
424,WILKEJA01 ,N,1975,1982,4,79,48.0,0.0,0.0,22.0,10.0,0.0,0.0,0.0,0.0,39.0,19.0,10.0,0.0,0.0
425,WILKELE01 ,N,1962,1972,9,182,85.0,0.0,0.0,22.0,26.0,0.0,0.0,0.0,0.0,75.0,30.0,32.0,0.0,0.0
426,WILKIDO01 ,N,1985,1993,9,258,106.0,0.0,0.0,27.0,15.0,0.0,0.0,0.0,0.0,95.0,38.0,38.0,0.0,0.0
